Numer KSeF;Numer faktury;Data wystawienia;Nazwa kontrahenta;NIP kontrahenta;Kwota brutto
7740001454-20260217-84988C800043-74;0491370570;2026-02-17;ORLEN S.A.;7740001454;489.55
7393752343-20260217-54658C800002-E4;FS 72/GDC/02/2026;2026-02-17;Falken Trade Sp. z o.o.BDO: 000071645;7393752343;2060.25
7393752343-20260217-54658C800004-F6;FS 13/GDP/02/2026;2026-02-17;Falken Trade Sp. z o.o.BDO: 000071645;7393752343;8044.20
8970009678-20260217-4C403C800004-BC;FV262600005640;2026-02-17;TIM S.A.;8970009678;865.02
7773249627-20260218-61531EC00183-C6;8364240405;2026-02-17;Raben Logistics Polska sp. z o.o.;7773249627;7245.87
7773249627-20260217-6F693C8001B1-70;8364230421;2026-02-17;Raben Logistics Polska sp. z o.o.;7773249627;1844.24
7881460632-20260217-69B624000003-80;AL/F/434/2/2026;2026-02-17;STUDIOCEN SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;7881460632;33.98
5270104717-20260216-3DC08F000019-86;FGD/26LTLD/00392;2026-02-16;GEODIS Road Network sp. z o.o.;5270104717;530.77
5223051066-20260216-5E2C92000001-55;FS+/26/02/000061;2026-02-16;Gemini Polska Sp. z o.o.;5223051066;14760.00
5213842837-20260213-6500E048586E-E7;00297/01/2026SPH;2026-02-13;Super-Pharm Holding Sp. z o.o.;5213842837;9225.00
5213842837-20260213-14008080576A-87;00222/01/2026SPH;2026-02-13;Super-Pharm Holding Sp. z o.o.;5213842837;9225.00
7773249627-20260211-4F02A034A873-1D;8364240129;2026-02-11;Raben Logistics Polska sp. z o.o.;7773249627;8009.03
5252800978-20260211-4400C0969266-96;176434/0226/RM;2026-02-11;Volkswagen Financial Services Polska Sp. z o.o.;5252800978;1557.46
5252800978-20260211-040040B4A965-5D;176433/0226/RM;2026-02-11;Volkswagen Financial Services Polska Sp. z o.o.;5252800978;1569.76
5252801825-20260212-060080CC351D-C2;FSD+/26/02/145594;2026-02-11;Gemini Apps spółka z o.o.;5252801825;306.54
5272677009-20260211-0F008078B356-44;4110524881;2026-02-11;RINGIER AXEL SPRINGER POLSKA Sp. z o.o.;5272677009;123.00
5831014898-20260211-C700207F1A48-40;3412998*93*26*4*451389;2026-02-11;LPP S. A.;5831014898;-325.98
7773249627-20260211-F703205BC36C-64;8364230173;2026-02-11;Raben Logistics Polska sp. z o.o.;7773249627;2897.97
5262907815-20260206-9F006039B943-4B;PL-AEU-2026-38169;2026-02-06;Amazon EU S.a r.l.;5262907815;0.17
6793108059-20260205-7B03E04DB98A-B2;2092/2026/F/02;2026-02-05;INPOST SP. Z O.O.;6793108059;24628.92
5223051066-20260204-0100608EFE3E-8C;FS+/26/02/000013;2026-02-04;Gemini Polska Sp. z o.o.;5223051066;6150.00
5223051066-20260204-0300608EFE3E-B2;FS+/26/01/000189;2026-02-04;Gemini Polska Sp. z o.o.;5223051066;12300.00
8992520556-20260203-5A00A06B6880-27;PL6453119;2026-02-03;OVH SP z.o.o.;8992520556;0.00
5252674798-20260202-D70460CBDF5F-32;00084469/PL/N/PLN/2026/01;2026-02-02;Allegro sp. z o.o.;5252674798;2272.19
5851351185-20260203-8A0040B5A449-88;7068/2/2026/KPRE;2026-02-02;AUTOPAY S.A.;5851351185;163.64
8971868567-20260203-4A09008F9E86-D1;53659/02/2026/BL;2026-02-01;BaseLinker Sp. z o.o.;8971868567;8610.00
5261040567-20260201-1800E0573451-24;800173190226;2026-02-01;T-Mobile Polska S.A.;5261040567;1619.05
